condo,date,price
Central Ratchayothin Park,10/1/2008,33564
Central Ratchayothin Park,1/1/2009,35683
Central Ratchayothin Park,4/1/2009,37803
Central Ratchayothin Park,7/1/2009,38021
Central Ratchayothin Park,10/1/2009,34438
Central Ratchayothin Park,1/1/2010,33341
Central Ratchayothin Park,4/1/2010,33488
Central Ratchayothin Park,7/1/2010,33635
Central Ratchayothin Park,10/1/2010,33782
Central Ratchayothin Park,1/1/2011,33830
Central Ratchayothin Park,4/1/2011,33181
Central Ratchayothin Park,7/1/2011,32392
Central Ratchayothin Park,10/1/2011,31312
Central Ratchayothin Park,1/1/2012,30625
Central Ratchayothin Park,4/1/2012,30156
Central Ratchayothin Park,7/1/2012,34817
Central Ratchayothin Park,10/1/2012,39146
Central Ratchayothin Park,1/1/2013,41997
Central Ratchayothin Park,4/1/2013,45221
Central Ratchayothin Park,7/1/2013,50448
Central Ratchayothin Park,10/1/2013,46791
Central Ratchayothin Park,1/1/2014,43133
Central Ratchayothin Park,4/1/2014,39476
Central Ratchayothin Park,7/1/2014,37506
Central Ratchayothin Park,10/1/2014,35906
Central Ratchayothin Park,1/1/2015,37807
Central Ratchayothin Park,4/1/2015,40248
Central Ratchayothin Park,7/1/2015,42434
Central Ratchayothin Park,10/1/2015,52844
Central Ratchayothin Park,1/1/2016,61062
Central Ratchayothin Park,4/1/2016,64897
Central Ratchayothin Park,7/1/2016,34694
Central Ratchayothin Park,10/1/2016,45499
Central Ratchayothin Park,1/1/2017,46320
Central Ratchayothin Park,4/1/2017,47876
Central Ratchayothin Park,7/1/2017,53506
Central Ratchayothin Park,10/1/2017,59135
Central Ratchayothin Park,1/1/2018,36493
Central Ratchayothin Park,4/1/2018,36513
Central Ratchayothin Park,7/1/2018,36533
Central Ratchayothin Park,10/1/2018,36552
Central Ratchayothin Park,1/1/2019,36572
Central Ratchayothin Park,4/1/2019,36993
Central Ratchayothin Park,7/1/2019,37614
Central Ratchayothin Park,10/1/2019,39333
Central Ratchayothin Park,1/1/2020,48735
Central Ratchayothin Park,4/1/2020,55735
Abstracts Phahonyothin Park,7/1/2010,78678
Abstracts Phahonyothin Park,10/1/2010,74889
Abstracts Phahonyothin Park,1/1/2011,75833
Abstracts Phahonyothin Park,4/1/2011,75028
Abstracts Phahonyothin Park,7/1/2011,75215
Abstracts Phahonyothin Park,10/1/2011,79827
Abstracts Phahonyothin Park,1/1/2012,78573
Abstracts Phahonyothin Park,4/1/2012,78958
Abstracts Phahonyothin Park,7/1/2012,80921
Abstracts Phahonyothin Park,10/1/2012,75013
Abstracts Phahonyothin Park,1/1/2013,75188
Abstracts Phahonyothin Park,4/1/2013,77842
Abstracts Phahonyothin Park,7/1/2013,81294
Abstracts Phahonyothin Park,10/1/2013,81780
Abstracts Phahonyothin Park,1/1/2014,82878
Abstracts Phahonyothin Park,4/1/2014,82341
Abstracts Phahonyothin Park,7/1/2014,85525
Abstracts Phahonyothin Park,10/1/2014,88822
Abstracts Phahonyothin Park,1/1/2015,92412
Abstracts Phahonyothin Park,4/1/2015,94964
Abstracts Phahonyothin Park,7/1/2015,94220
Abstracts Phahonyothin Park,10/1/2015,94783
Abstracts Phahonyothin Park,1/1/2016,96527
Abstracts Phahonyothin Park,4/1/2016,96326
Abstracts Phahonyothin Park,7/1/2016,96504
Abstracts Phahonyothin Park,10/1/2016,99983
Abstracts Phahonyothin Park,1/1/2017,96391
Abstracts Phahonyothin Park,4/1/2017,101288
Abstracts Phahonyothin Park,7/1/2017,103116
Abstracts Phahonyothin Park,10/1/2017,111213
Abstracts Phahonyothin Park,1/1/2018,69405
Abstracts Phahonyothin Park,4/1/2018,100954
Abstracts Phahonyothin Park,7/1/2018,102244
Abstracts Phahonyothin Park,10/1/2018,113888
Abstracts Phahonyothin Park,1/1/2019,109931
Abstracts Phahonyothin Park,4/1/2019,107424
Abstracts Phahonyothin Park,7/1/2019,107580
Abstracts Phahonyothin Park,10/1/2019,100009
Abstracts Phahonyothin Park,1/1/2020,103270
